"","ballot_ID","state","county","voted_2016","student_loan","faminc","child_u18","followed_event_fb","education","employment","social_media","marital_status","home_owner_status","voted_2012","birth_year","vote_method","health_insurance"
"1252","21183","Michigan","Macomb MI","democrat","no",7,"no","Yes","highschool","retired","Yes","Divorced","own","democrat",NA,"by mail","no"
"1253","76263","Florida","Citrus FL","republican","no",4,"no",NA,"highschool","retired","No","Married","own","republican",NA,"in person ","yes"
"1254","91411","Colorado","Pueblo CO","republican","no",6,"no",NA,"highschool","retired","No","Separated","own","republican",NA,"by mail","yes"
"1255","82663","Florida","Escambia FL","republican","no",9,"no",NA,"highschool","retired","No","Married","own","republican",NA,"in person","yes"
"1256","27652","Wisconsin","Brown WI","democrat","no",7,"no",NA,"highschool","employed","No","Married","own","democrat",NA,"in person","yes"
"1257","74766","Florida","Pinellas FL","republican","no",6,"no",NA,"highschool","retired","No","Married","own","republican",NA,"by mail","yes"
"1258","02254","Georgia","Fayette GA","republican","no",6,"no","No","highschool","other","Yes","Married","own","republican",NA,"in person","yes"
"1259","14540","Michigan","Cass MI","democrat","no",4,"no",NA,"highschool","other","No","Single","own","democrat",NA,"in person ","yes"
"1260","29230","Florida","Escambia FL","democrat","no",32,"no","Yes","highschool","retired","Yes","Divorced","own","democrat",NA,"by mail","yes"
"1261","30519","Minnesota","Hennepin MN","democrat","no",11,"no","Yes","highschool","retired","Yes","Married","own","democrat",NA,"in person ","yes"
"1262","27404","Florida","Hillsborough FL","republican","no",7,"no","Yes","highschool","retired","Yes","Married","own","republican",NA,"by mail","yes"
"1263","78304","North Carolina","Mecklenburg NC","republican","no",32,"no",NA,"undergraduate","retired","No","Married","own","republican",NA,"in person","yes"
"1264","52420","Florida","Polk FL","democrat","no",32,"no",NA,"undergraduate","other","No","Married","other","democrat",NA,"in person","no"
"1265","87119","Colorado","Mesa CO","democrat","no",10,"no","No","postgraduate","retired","Yes","Married","own","democrat",NA,"by mail","yes"
"1266","67814","Michigan","Ottawa MI","democrat","no",11,"no","No","postgraduate","employed","Yes","Married","own","democrat",NA,"by mail","yes"
"1267","83859","Pennsylvania","Carbon PA","republican","no",9,"no","No","postgraduate","retired","Yes","Married","own","republican",NA,"in person ","yes"
"1268","06182","Florida","Duval FL",NA,"no",2,"no",NA,"undergraduate","employed","No","Widowed","rent","did not vote",NA,"in person ","no"
"1269","39798","Nevada","Clark NV","republican","no",32,"no","No","undergraduate","employed","Yes","Married","own","republican",NA,"in person ","no"
"1270","57454","Minnesota","Hennepin MN","republican","no",13,"no",NA,"undergraduate","employed","No","Married","own","republican",NA,"in person ","no"
"1271","92308","Florida","St. Johns FL","democrat","no",9,"no","No","undergraduate","employed","Yes","Single","own","democrat",NA,"in person","no"
"1272","91087","Pennsylvania","York PA","republican","no",10,"yes",NA,"undergraduate","employed","No","Married","own","republican",NA,"in person ","no"
"1273","53335","Florida","Hillsborough FL","democrat","no",9,"no","Yes","undergraduate","unemployed","Yes","Single","rent","republican",NA,"in person","no"
"1274","66683","Michigan","Wexford MI",NA,"no",3,"no","No","highschool","retired","Yes","Married","own","republican",NA,"in person ","yes"
"1275","83903","Florida","Broward FL","republican","no",11,"no","No","highschool","retired","Yes","Domestic partnership","own","republican",NA,"by mail","no"
"1276","08330","Michigan","Genesee MI","democrat","no",12,"yes","No","postgraduate","employed","Yes","Married","own","democrat",NA,"in person ","no"
"1277","30477","Colorado","Denver CO","democrat","yes",8,"no","No","postgraduate","employed","Yes","Married","own","democrat",NA,"by mail","no"
"1278","69046","Virginia","Henrico VA",NA,"no",4,"no",NA,"highschool","employed","No","Divorced","rent",NA,NA,NA,"no"
"1279","37371","Michigan","Kent MI","democrat","yes",6,"no",NA,"highschool","employed","No","Single","own","democrat",NA,"in person ","no"
"1280","24916","Florida","Pasco FL",NA,"no",32,"no","No","highschool","unemployed","Yes","Single","rent",NA,NA,"in person ","yes"
"1281","62348","Michigan","Grand Traverse MI","republican","yes",7,"yes","Yes","highschool","other","Yes","Married","own","democrat",NA,"in person ","no"
"1282","42823","Pennsylvania","Philadelphia PA",NA,"yes",3,"no","No","postgraduate","retired","Yes","Separated","rent","democrat",NA,NA,"yes"
"1283","22103","Pennsylvania","Dauphin PA","republican","no",7,"yes","No","undergraduate","employed","Yes","Divorced","own","republican",NA,"in person ","no"
"1284","82614","Virginia","Fairfax VA","democrat","no",10,"no","Yes","undergraduate","employed","Yes","Married","own","democrat",NA,"in person ","no"
"1285","48979","Minnesota","Hennepin MN",NA,"no",32,"yes","No","highschool","employed","Yes","Married","rent",NA,NA,NA,"no"
"1286","18294","Florida","Polk FL","republican","no",2,"no","Yes","highschool","other","Yes","Widowed","own","republican",NA,"in person ","yes"
"1287","94593","Florida","Hernando FL","republican","no",6,"no",NA,"highschool","retired","No","Married","own","republican",NA,"by mail","yes"
"1288","94128","Minnesota","St. Louis MN","republican","no",3,"no",NA,"highschool","retired","No","Divorced","rent","republican",NA,"in person ","yes"
"1289","17330","North Carolina","Onslow NC","republican","no",10,"no","Yes","highschool","retired","Yes","Married","own","republican",NA,"in person ","yes"
"1290","73509","Pennsylvania","Schuylkill PA","democrat","yes",2,"no","Yes","undergraduate","employed","Yes","Single","rent","republican",NA,"by mail","no"
"1291","85397","Pennsylvania","Philadelphia PA","democrat","no",32,"no","No","highschool","retired","Yes","Married","own","democrat",NA,"in person ","no"
